EXERCICI_COMPTAB,AREA,SERVEI,PROGRAMA,CAPITOL,PARTIDA,DESCRIPCIO_PARTIDA,PRESSUPOST_DEFINITIU,LIQUIDACIO
2016,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,16   1433 15103   16000,SEGURETAT SOCIAL ASSISTÈNCIA T,,23563.39
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15001   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,,5154.24
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15001   12003,RETRIB.BASIQ.FUNC.SOUS GRUP C1,,60844.51
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15001   12004,RETRIB.BASIQ.FUNC.SOUS GRUP C2,,41526.18
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15001   12005,RETRIB.BASIQ.FUNC.SOUS GRUP E ,,13907.53
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15001   12006,RETRIB.BASIQ.FUNC.TRIENNIS DES,,24746.01
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15001   12100,RETRIB.COMPL.DESTI.P.FUNCI.DES,,62646.28
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15001   12101,RET.COMPLEMENT ESPECÍFIC FUNC.,,135338.39
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15001   12103,RETRIB. ALTRES COMPLEMENTS DES,,32465.31
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15001   15000,PRODUCTIVITAT DESP.GESTIÓ V.PÚ,,60789.62
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15001   16000,QUOTES SEG.SOCIAL DESP.GESTIÓ ,,118850.3
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15101   12000,RETRIB.BASIQ.FUNC.SOUS GRUP A1,,91487.89
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15101   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,,64567.86
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15101   12003,RETRIB.BASIQ.FUNC.SOUS GRUP C1,,41697.62
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15101   12004,RETRIB.BASIQ.FUNC.SOUS GRUP C2,,23565.67
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15101   12006,RETRIB.BASIQ.FUNC. TRIENNIS RE,,28718.44
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15101   12100,RET.COMPLEMENT DESTINACIÓ FUNC,,109114.92
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15101   12101,RET.COMPLEMENT ESPECÍFIC FUNC.,,240661.21
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15101   12103,RET.ALTRES COMPLEMENTS FUNC.RE,,25576.13
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15101   13000,RETRIB.BASIQ.PERS.LABORAL FIX ,,30495.93
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15101   13002,ALTRES REMUNER.PERS.LABORAL FI,,44321.29
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15101   13100,RETRIB.BASIQ.PERS.LAB.TEMPORAL,,17294.55
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15101   15000,PRODUCTIVITAT REDACCIÓ PROJECT,,121365.58
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15101   16000,QUOTES SEG.SOCIAL REDACCIÓ PRO,,226198.71
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15321   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,,16602.66
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15321   12004,RETRIB.BASIQ.FUNC.SOUS GRUP C2,,4683.39
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15321   12005,RETRIB.BASIQ.FUNC.SOUS GRUP E ,,189540.17
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15321   12006,RETRIB.BASIQ.FUNC. TRIENNIS MA,,22390.84
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15321   12100,RET.COMPLEMENT DESTINACIÓ FUNC,,86739.48
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15321   12101,RET.COMPLEMENT ESPECÍFIC FUNC.,,261009.46
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15321   12103,RETRIB. ALTRES COMPLEMENTS MAN,,91578.98
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15321   13000,RETRIB.BASIQ.PERS.LABORAL FIX ,,17441.04
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15321   13002,ALTRES REMUNER.PERS.LABORAL MA,,28823.06
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15321   13100,RETRIB.BASIQ.PERS.LAB.TEMPORAL,,43984.02
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15321   15000,PRODUCTIVITAT MANT.INF.URBANES,,135193.46
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 15321   16000,SEGURETAT SOCIAL MANT.INF.URBA,,319952.86
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16001   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,,13102.91
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16001   12006,RETRIB.BASIQ.FUNC. TRIENNIS XA,,1425.63
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16001   12100,RET.COMPLEMENT DESTINACIÓ FUNC,,4974.55
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16001   12101,RET.COMPLEMENT ESPECÍFIC FUNC.,,13324.05
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16001   12103,RETRIB. ALTRES COMPLEMENTS XAR,,686.27
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16001   15000,PRODUCTIVITAT XARXA CLAVEGUERA,,5515.91
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16001   16000,SEGURETAT SOCIAL XARXA CLAVEGU,,12164.34
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16501   12000,RETRIB.BASIQ.FUNC.SOUS GRUP A1,,14972.57
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16501   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,,13165.99
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16501   12005,RETRIB.BASIQ.FUNC.SOUS GRUP E ,,7833.03
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16501   12006,RETRIB.BASIQ.FUNC. TRIENNIS EN,,6217.24
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16501   12100,RET.COMPLEMENT DESTINACIÓ FUNC,,25573.77
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16501   12101,RET.COMPLEMENT ESPECÍFIC FUNC.,,34410.7
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16501   12103,RET.ALTRES COMPLEMENTS FUNC.EN,,2349.91
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16501   15000,PRODUCTIVITAT ENLLUMENAT,,17953.98
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 16501   16000,QUOTES SEG.SOCIAL ENLLUMENAT,,30257.13
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 17101   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,,34008.74
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 17101   12004,RETRIB.BASIQ.FUNC.SOUS GRUP C2,,9966.54
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 17101   12005,RETRIB.BASIQ.FUNC.SOUS GRUP E ,,258894.55
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 17101   12006,RETRIB.BASIQ.FUNC. TRIENNIS MA,,57712.97
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 17101   12100,COMPLEMENT DESTÍ MANT.JARDINER,,131356.49
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 17101   12101,RETRIB. COMPLEMENT ESPECIFIC P,,371563.85
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 17101   12103,ALTRES COMPLEMENTS MANT.JARDIN,,139128.85
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 17101   13000,RETRIB.BASIQ.PERS.LABORAL FIX ,,2574.34
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 17101   13002,ALTRES REMUNER.PERS.LABORAL FI,,3353.13
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 17101   13100,RETRIB.BASIQ.PERS.LAB.TEMPORAL,,20578.7
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 17101   15000,PRODUCTIVITAT MANTENIMENT MANT,,177349.66
2017,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,17   1433 17101   16000,SEGURETAT SOCIAL MANT.JARDINER,,401058.89
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15101   20300,"LLOGUER MAQUINARIA, INSTAL. RE",5340,5340
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15101   21400,MANTENIMENT VEHICLES REDACCIà ,375,377.95
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15101   22009,ALTRE MATERIAL NO INVENTARIABL,3000,3000
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15101   22103,SUBMINISTRE COMBUSTIBLE REDACC,160,160
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15101   22706,ESTUDIS I TREBALLS TEC. OBRA P,17932.46,17932.46
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15102   20300,"LLOGUER MAQUINARIA, INSTAL. DI",2670,2670
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15102   21400,MANTENIMENT VEHICLES DIRECCIO ,2630,1952.68
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15102   22009,ALTRE MATERIAL NO INVENTARIABL,1500,1500
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15102   22103,SUBMINISTRE COMBUSTIBLE DIRECC,1135,1135
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15102   22104,VESTUARI  DIRECCIO D OBRES,315,
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15103   20300,"LLOGUER MAQUINARIA, INSTAL.  A",890,887.64
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15103   21400,MANTENIMENT VEHICLES  ASSISTEN,750,
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15103   22009,ALTRE MATERIAL NO INVENTARIABL,500,304.22
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15103   22103,SUBMINISTRE COMBUSTIBLE  ASSIS,325,325
2011,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,11   1433 15103   22104,VESTUARI OBRA PéBLICA   ASSIST,35,
2012,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,12   1433 15101   20300,"LLOGUER MAQUINARIA, INSTAL. RE",,5340
2012,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,12   1433 15101   21400,MANTENIMENT VEHICLES REDACCIà ,,375
2012,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,12   1433 15101   22009,ALTRE MATERIAL NO INVENTARIABL,,3000
2012,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,12   1433 15101   22103,SUBMINISTRE COMBUSTIBLE REDACC,,160
2012,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,12   1433 15102   20300,"LLOGUER MAQUINARIA, INSTAL. DI",,2736.73
2012,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,12   1433 15102   21400,MANTENIMENT VEHICLES DIRECCIO ,,1170.59
2012,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,12   1433 15102   22009,ALTRE MATERIAL NO INVENTARIABL,,1655.12
2012,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,12   1433 15102   22103,SUBMINISTRE COMBUSTIBLE DIRECC,,1135
2012,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,12   1433 15102   22104,VESTUARI  DIRECCIO D OBRES,,315
2012,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,12   1433 15103   20300,"LLOGUER MAQUINARIA, INSTAL.  A",,896.31
2012,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,12   1433 15103   21400,MANTENIMENT VEHICLES  ASSISTEN,,96.67
2012,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,12   1433 15103   22009,ALTRE MATERIAL NO INVENTARIABL,,439.23
2012,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,12   1433 15103   22103,SUBMINISTRE COMBUSTIBLE  ASSIS,,325
2012,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,12   1433 15103   22104,VESTUARI OBRA PéBLICA   ASSIST,,22.42
2013,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,13   1433 15101   20300,"LLOGUER MAQUINARIA, INSTAL. RE",,5340
2013,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,13   1433 15101   21400,MANTENIMENT VEHICLES REDACCIà ,,459
2013,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,13   1433 15101   22009,ALTRE MATERIAL NO INVENTARIABL,,2958.53
2013,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,13   1433 15101   22103,SUBMINISTRE COMBUSTIBLE REDACC,,160
2013,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,13   1433 15102   20300,"LLOGUER MAQUINARIA, INSTAL. DI",,2807
2013,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,13   1433 15102   21400,MANTENIMENT VEHICLES DIRECCIO ,,2503.62
2013,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,13   1433 15102   22009,ALTRE MATERIAL NO INVENTARIABL,,625.53
2013,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,13   1433 15102   22103,SUBMINISTRE COMBUSTIBLE DIRECC,,1135
2013,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,13   1433 15102   22104,VESTUARI  DIRECCIO D OBRES,,260.88
2013,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,13   1433 15103   20300,"LLOGUER MAQUINARIA, INSTAL.  A",,976.84
2013,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,13   1433 15103   21400,MANTENIMENT VEHICLES  ASSISTEN,,293.27
2013,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,13   1433 15103   22009,ALTRE MATERIAL NO INVENTARIABL,,517.79
2013,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,13   1433 15103   22103,SUBMINISTRE COMBUSTIBLE  ASSIS,,324.99
2014,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,14   1433 15101   20300,"LLOGUER MAQUINARIA, INSTAL. RE",,5185.24
2014,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,14   1433 15101   21400,MANTENIMENT VEHICLES REDACCIà ,,414.14
2014,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,14   1433 15101   22009,ALTRE MATERIAL NO INVENTARIABL,,2993.77
2014,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,14   1433 15101   22103,SUBMINISTRE COMBUSTIBLE REDACC,,160
2014,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,14   1433 15102   20300,"LLOGUER MAQUINARIA, INSTAL. DI",,2299.38
2014,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,14   1433 15102   21400,MANTENIMENT VEHICLES DIRECCIO ,,1567.56
2014,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,14   1433 15102   22009,ALTRE MATERIAL NO INVENTARIABL,,973.69
2014,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,14   1433 15102   22103,SUBMINISTRE COMBUSTIBLE DIRECC,,1135
2014,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,14   1433 15102   22104,VESTUARI  DIRECCIO D OBRES,,854.96
2014,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,14   1433 15103   20300,"LLOGUER MAQUINARIA, INSTAL.  A",,623.32
2014,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,14   1433 15103   22002,MATERIAL INFORMÀTIC NO INVENTA,,489.9
2014,1-Territori i Sostenibilitat,1433-Servei d Obres i Mantenim,1-SERVICIOS PUBLICOS BASICOS,2-DESPESES EN BÉNS CORRENTS I ,14   1433 15103   22009,ALTRE MATERIAL NO INVENTARIABL,,483.09
